# slug | brand | code | assigned_leaf | price | title | description
neff-00629694 | Neff | 00629694 | spare-parts | 27.38 | "Lamp Oven-Lamp complete, horizontal plug" | "Lamp Oven-Lamp complete"
neff-00632231 | Neff | 00632231 | spare-parts | 9.72 | "Holder pizza flap pin,upper" | "Holder pizza flap pin,upper"
neff-00632783 | Neff | 00632783 | spare-parts | 4.74 | "Rubber foot RUBBER FOOT CERAN IH6" | "Rubber foot RUBBER FOOT CERAN IH6"
neff-00632807 | Neff | 00632807 | spare-parts | 22.49 | "Glass light cover d = 34 mm" | "Glass light cover d = 34 mm"
neff-00637444 | Neff | 00637444 | spare-parts | 15.16 | "Bushing back ceramic holder for microwave grid/pyrolysis" | "Bushing back ceramic holder for microwave grid/pyrolysis"
neff-00637532 | Neff | 00637532 | spare-parts | 10.74 | "Bearing Flap" | "Bearing Flap"
neff-00637592 | Neff | 00637592 | spare-parts | 14.88 | "Halogen Lamp – G9, 40W" | "Halogen Lamp – G9, 40W"
neff-00639091 | Neff | 00639091 | spare-parts | 10.3 | "Adapter" | "Adapter"
neff-00639092 | Neff | 00639092 | spare-parts | 11.27 | "Seating left + right" | "Seating left + right"
neff-00651023 | Neff | 00651023 | spare-parts | 36.9 | "Seal-door Cavity, \"Mega Sliode and Hide\"" | "Seal-door Cavity, \"Mega Sliode and Hide\""
neff-00659556 | Neff | 00659556 | spare-parts | 23.7 | "Seal-door self contained, silicon" | "Seal-door self contained, silicon"
neff-00665881 | Neff | 00665881 | spare-parts | 30.64 | "Heater-ring 2300W/240V" | "Heater-ring 2300W/240V"
neff-00670091 | Neff | 00670091 | spare-parts | 29.75 | "Frozen food container middle" | "Frozen food container middle"
neff-00678733 | Neff | 00678733 | spare-parts | 40.25 | "Flap" | "Flap"
neff-00704838 | Neff | 00704838 | spare-parts | 49.1 | "Tray" | "Tray"
