# slug | brand | code | assigned_leaf | price | title | description
bosch-17001222 | Bosch | 17001222 | cooking-accessories | 17.22 | "Mepal Cirqula Food Storage Bowl - 750ml (Nordic Blue)" | "Mepal Cirqula Food Storage Bowl - 750ml (Nordic Blue)"
bosch-17001224 | Bosch | 17001224 | cooking-accessories | 17.22 | "Mepal Cirqula Food Storage Bowl - 750ml (Nordic White)" | "Mepal Cirqula Food Storage Bowl - 750ml (Nordic White)"
bosch-17001229 | Bosch | 17001229 | cooking-accessories | no-price | "Mepal Cirqula Food Storage Bowl - 750ml (Nordic Blush)" | "Mepal Cirqula Food Storage Bowl - 750ml (Nordic Blush)"
bosch-17001233 | Bosch | 17001233 | cooking-accessories | 19.36 | "Mepal Cirqula Food Storage Bowl - 1L (Nordic Blue)" | "Mepal Cirqula Food Storage Bowl - 1L (Nordic Blue)"
bosch-17001234 | Bosch | 17001234 | cooking-accessories | 19.36 | "Mepal Cirqula Food Storage Bowl - 1L (Nordic White)" | "Mepal Cirqula Food Storage Bowl - 1L (Nordic White)"
bosch-17001243 | Bosch | 17001243 | cooking-accessories | 19.13 | "Mepal Cirqula Food Storage Bowl - 1.25L (Nordic Blue)" | "Mepal Cirqula Food Storage Bowl - 1.25L (Nordic Blue)"
bosch-17001245 | Bosch | 17001245 | cooking-accessories | 23.66 | "Mepal Cirqula Food Storage Bowl - 1.25L (Nordic White)" | "Mepal Cirqula Food Storage Bowl - 1.25L (Nordic White)"
bosch-17001247 | Bosch | 17001247 | cooking-accessories | no-price | "Mepal Cirqula Food Storage Bowl - 1.25L (Nordic Blush)" | "Mepal Cirqula Food Storage Bowl - 1.25L (Nordic Blush)"
bosch-17001251 | Bosch | 17001251 | cooking-accessories | 30.1 | "Mepal Cirqula Food Storage Bowl - 2L (Nordic Blue)" | "Mepal Cirqula Food Storage Bowl - 2L (Nordic Blue)"
bosch-17001253 | Bosch | 17001253 | cooking-accessories | 30.1 | "Mepal Cirqula Food Storage Bowl - 2L (Nordic White)" | "Mepal Cirqula Food Storage Bowl - 2L (Nordic White)"
bosch-17001259 | Bosch | 17001259 | cooking-accessories | 17.77 | "Rosti Mepal Optima Salad Tongs (burgundy red)" | "Rosti Mepal Optima Salad Tongs (burgundy red)"
bosch-17001261 | Bosch | 17001261 | cooking-accessories | 12.58 | "Rosti Mepal Optima Salad Tongs (lime)" | "Rosti Mepal Optima Salad Tongs (lime)"
bosch-17001425 | Bosch | 17001425 | cooking-accessories | 234.1 | "Lowering frame 90 cm" | "Lowering frame 90 cm"
bosch-17001426 | Bosch | 17001426 | cooking-accessories | 204.71 | "Lowering Frame" | "Lowering Frame"
bosch-17001485 | Bosch | 17001485 | cooking-accessories | 410.06 | "Starter set for circulating air mode Recirculating kit" | "Starter set for circulating air mode Recirculating kit"
bosch-17002063 | Bosch | 17002063 | cooking-accessories | 137.63 | "Full Extension Telescopic Rails (1 Fold)" | "Full Extension Telescopic Rails (1 Fold)"
bosch-17002117 | Bosch | 17002117 | cooking-accessories | 380.22 | "Long Life recirculation kit" | "Long Life recirculation kit"
bosch-17002189 | Bosch | 17002189 | cooking-accessories | 289.16 | "Long Life recirculation kit" | "Long Life recirculation kit"
bosch-17002406 | Bosch | 17002406 | cooking-accessories | no-price | "Mepal Cirqula Food Storage Bowl - 750ml (Nordic Berry)" | "Mepal Cirqula Food Storage Bowl - 750ml (Nordic Berry)"
bosch-17002409 | Bosch | 17002409 | cooking-accessories | 30.1 | "Mepal Cirqula Food Storage Bowl - 2L (Nordic Berry)" | "Mepal Cirqula Food Storage Bowl - 2L (Nordic Berry)"
bosch-17002417 | Bosch | 17002417 | cooking-accessories | 11.34 | "Salad Server Set - 2pcs (Nordic Berry)" | "Salad Server Set - 2pcs (Nordic Berry)"
bosch-17002418 | Bosch | 17002418 | cooking-accessories | 12.38 | "Mepal Omnia Storage Jar - 700ml (Nordic White)" | "Mepal Omnia Storage Jar - 700ml (Nordic White)"
bosch-17002419 | Bosch | 17002419 | cooking-accessories | 15.76 | "Mepal Omnia Storage Jar - 700ml (Black)" | "Mepal Omnia Storage Jar - 700ml (Black)"
bosch-17002422 | Bosch | 17002422 | cooking-accessories | 10.73 | "Mepal Omnia Storage Jar - 700ml (Nordic Green)" | "Mepal Omnia Storage Jar - 700ml (Nordic Green)"
bosch-17002423 | Bosch | 17002423 | cooking-accessories | 13.64 | "Mepal Omnia Storage Jar - 1.1L (Nordic White)" | "Mepal Omnia Storage Jar - 1.1L (Nordic White)"
bosch-17002424 | Bosch | 17002424 | cooking-accessories | 13.64 | "Mepal Omnia Storage Jar - 1.1L (Black)" | "Mepal Omnia Storage Jar - 1.1L (Black)"
bosch-17002428 | Bosch | 17002428 | cooking-accessories | 21.77 | "Storage jar" | "Storage jar"
bosch-17002738 | Bosch | 17002738 | cooking-accessories | 62 | "Professional Pan Set" | "Professional Pan Set"
